Termék kód;Árlista;Egységár;Alapár (Nettó)
4476;Törzsvásárló 5-nagyker;25027;28886
4555;Törzsvásárló 2;4036;4373
4555;Törzsvásárló 5-nagyker;3789;4373
4606;Törzsvásárló 2;21787;23604
4606;Törzsvásárló 5-nagyker;20450;23604
5233;Törzsvásárló 2;35540;38504
5233;Törzsvásárló 5-nagyker;33360;38504
5239;Törzsvásárló 2;75479;81774
5239;Törzsvásárló 5-nagyker;70849;81774
5515;Törzsvásárló 2;3214;3482
5515;Törzsvásárló 5-nagyker;3017;3482
5564;Törzsvásárló 2;209;226
5564;Törzsvásárló 5-nagyker;196;226
5583;Törzsvásárló 2;11204;12139
5583;Törzsvásárló 5-nagyker;10517;12139
5584;Törzsvásárló 2;11736;12715
5584;Törzsvásárló 5-nagyker;11016;12715
5678;Törzsvásárló 2;21004;22756
5678;Törzsvásárló 5-nagyker;19716;22756
5691;Törzsvásárló 2;136861;148276
5691;Törzsvásárló 5-nagyker;128466;148276
5818;Törzsvásárló 2;528;572
5818;Törzsvásárló 5-nagyker;496;572
5789;Törzsvásárló 2;102783;111356
5789;Törzsvásárló 5-nagyker;96478;111356
5832;Törzsvásárló 2;494;535
5832;Törzsvásárló 5-nagyker;463;535
5838;Törzsvásárló 2;436;472
5838;Törzsvásárló 5-nagyker;409;472
5839;Törzsvásárló 2;486;526
5839;Törzsvásárló 5-nagyker;456;526
5845;Törzsvásárló 2;332;360
5845;Törzsvásárló 5-nagyker;312;360
5929;Törzsvásárló 2;19263;20869
5929;Törzsvásárló 5-nagyker;18081;20869
6005;Törzsvásárló 2;76730;83130
6005;Törzsvásárló 5-nagyker;72024;83130
6062;Törzsvásárló 2;5240;5677
6062;Törzsvásárló 5-nagyker;4919;5677
6076;Törzsvásárló 2;534;579
6076;Törzsvásárló 5-nagyker;501;579
6078;Törzsvásárló 2;200;217
6078;Törzsvásárló 5-nagyker;188;217
6092;Törzsvásárló 2;1162;1259
6092;Törzsvásárló 5-nagyker;1091;1259
6093;Törzsvásárló 2;1451;1572
6093;Törzsvásárló 5-nagyker;1362;1572
6095;Törzsvásárló 2;859;930
6095;Törzsvásárló 5-nagyker;806;930
6096;Törzsvásárló 2;1177;1275
6096;Törzsvásárló 5-nagyker;1104;1275
6097;Törzsvásárló 2;1466;1588
6097;Törzsvásárló 5-nagyker;1376;1588
6098;Törzsvásárló 2;2195;2378
6098;Törzsvásárló 5-nagyker;2061;2378
6099;Törzsvásárló 2;2955;3201
6099;Törzsvásárló 5-nagyker;2774;3201
6100;Törzsvásárló 2;3760;4073
6100;Törzsvásárló 5-nagyker;3529;4073
6101;Törzsvásárló 2;2157;2337
6101;Törzsvásárló 5-nagyker;2025;2337
6103;Törzsvásárló 2;2309;2501
6103;Törzsvásárló 5-nagyker;2167;2501
6104;Törzsvásárló 2;3638;3941
6104;Törzsvásárló 5-nagyker;3415;3941
6105;Törzsvásárló 2;729;790
6105;Törzsvásárló 5-nagyker;685;790
6106;Törzsvásárló 2;1088;1179
6106;Törzsvásárló 5-nagyker;1021;1179
6107;Törzsvásárló 2;1486;1610
6107;Törzsvásárló 5-nagyker;1395;1610
6108;Törzsvásárló 2;661;716
6108;Törzsvásárló 5-nagyker;620;716
6109;Törzsvásárló 2;1033;1119
6109;Törzsvásárló 5-nagyker;969;1119
6113;Törzsvásárló 2;593;642
6113;Törzsvásárló 5-nagyker;557;642
6114;Törzsvásárló 2;957;1037
6114;Törzsvásárló 5-nagyker;899;1037
6115;Törzsvásárló 2;1541;1669
6115;Törzsvásárló 5-nagyker;1446;1669
6116;Törzsvásárló 2;837;907
6116;Törzsvásárló 5-nagyker;786;907
6136;Törzsvásárló 2;429;465
6136;Törzsvásárló 5-nagyker;403;465
6137;Törzsvásárló 2;357;386
6137;Törzsvásárló 5-nagyker;335;386
6182;Törzsvásárló 2;5741;6220
6182;Törzsvásárló 5-nagyker;5389;6220
6189;Törzsvásárló 2;30117;32629
6189;Törzsvásárló 5-nagyker;28270;32629
6269;Törzsvásárló 2;637;690
6269;Törzsvásárló 5-nagyker;598;690
6282;Törzsvásárló 2;1424;1543
6282;Törzsvásárló 5-nagyker;1337;1543
6283;Törzsvásárló 2;2224;2409
6283;Törzsvásárló 5-nagyker;2087;2409
8005;Törzsvásárló 2;28609;30995
8005;Törzsvásárló 5-nagyker;26854;30995
8030;Törzsvásárló 2;1625;1760
8030;Törzsvásárló 5-nagyker;1525;1760
